date,open,high,low,close,volume,openint,etf_close,etf_vol,MA7,MA21,RSI,MACD,Target
2014-05-22,44.042,44.592,43.672,44.25,102231,0,145.1,24900.0,43.762714285714274,42.49190476190476,74.6237311865593,0.7121037364248579,44.459
2014-05-23,44.231,44.459,44.108,44.459,1929,0,143.64,20282.0,44.06471428571428,42.61561904761905,70.1830146000411,0.7481315612844028,45.037
2014-05-27,44.231,45.568,44.156,45.037,35449,0,142.66,36539.0,44.361428571428576,42.81695238095239,77.10587326120552,0.8139410359033121,46.032
2014-05-28,45.142,46.488,44.762,46.032,20757,0,141.56,23747.0,44.57928571428572,43.055285714285716,79.30492490394687,0.9355987036428743,47.256
2014-05-29,45.947,47.759,45.891,47.256,37215,0,141.98,12021.0,44.96528571428571,43.34061904761905,83.39360624909587,1.1178934723431837,48.915
2014-05-30,47.407,49.759,47.286,48.915,77398,0,141.4,12601.0,45.68857142857143,43.678761904761906,86.50364448624498,1.3803193626657304,49.096
2014-06-02,48.915,49.949,48.299,49.096,34114,0,139.81,36506.0,46.434999999999995,44.09328571428571,90.12552301255222,1.5846323039421861,49.086
2014-06-03,49.124,49.332,48.489,49.086,14009,0,139.34,61938.0,47.125857142857136,44.45757142857143,91.37074294024963,1.7258503370910674,49.504
2014-06-04,49.219,49.749,48.735,49.504,39462,0,139.98,90338.0,47.84657142857144,44.79128571428572,91.70453221484325,1.850168165488725,49.55
2014-06-05,49.769,49.778,49.305,49.55,34821,0,140.8,14088.0,48.49128571428571,45.13980952380952,91.11554779136507,1.930153151663653,49.627
2014-06-06,49.635,49.683,48.944,49.627,33814,0,141.31,15347.0,49.00485714285714,45.47080952380953,89.11980440097797,1.9769658542033994,49.485
2014-06-09,49.635,49.635,48.896,49.485,35239,0,141.36,17962.0,49.32328571428571,45.79680952380952,87.13661696038552,1.9797853122706854,49.635
2014-06-10,49.485,49.635,48.811,49.635,37185,0,144.14,39131.0,49.42614285714286,46.12680952380953,97.50287497946442,1.9713984453744473,49.455
2014-06-11,49.57,49.683,49.133,49.455,12298,0,144.41,17416.0,49.47742857142857,46.46357142857143,94.68629961587706,1.9280024847534705,49.579
2014-06-12,49.635,49.712,49.37,49.579,18449,0,140.58,50863.0,49.54785714285714,46.81214285714286,94.46020357083263,1.8819230001102127,49.598
2014-06-13,49.579,50.394,49.256,49.598,75286,0,139.39,55327.0,49.56128571428572,47.15752380952381,94.27882129932792,1.825890093337172,49.854
2014-06-16,50.005,50.005,49.313,49.854,17078,0,139.65,35860.0,49.60471428571429,47.48580952380952,93.94271118409048,1.7816034559128582,49.427
2014-06-17,49.635,49.862,49.219,49.427,15363,0,140.26,18643.0,49.57614285714286,47.72009523809523,84.55119071850194,1.6925400966099033,49.807
2014-06-18,49.579,49.92,49.351,49.807,21088,0,141.18,25122.0,49.62214285714286,47.970238095238095,81.34676824772671,1.6337862954852511,49.93
2014-06-19,49.872,50.394,49.787,49.93,24615,0,143.48,85388.0,49.66428571428571,48.25966666666667,70.03553099091985,1.5789474336869063,49.892
2014-06-20,50.167,50.394,49.892,49.892,8879,0,141.76,25420.0,49.72671428571429,48.54638095238095,66.65271966527209,1.5149574714951868,49.731
2014-06-23,50.09,50.09,49.114,49.731,5764,0,141.74,35175.0,49.748428571428576,48.807380952380946,62.691853600944555,1.4347151082795122,49.417
2014-06-24,49.56,49.826,49.342,49.417,25735,0,142.82,24594.0,49.72257142857143,49.04347619047619,48.215018465326295,1.3304486971187401,49.836
2014-06-25,49.882,49.882,49.399,49.836,39264,0,143.19,15992.0,49.720000000000006,49.272,55.08896797153026,1.2670211818546804,49.55
2014-06-26,49.892,49.892,49.322,49.55,5425,0,142.92,15434.0,49.73757142857143,49.43952380952381,48.724743292480866,1.1800734569970288,50.707
2014-06-27,49.618,50.707,49.618,50.707,35547,0,143.76,20625.0,49.866142857142854,49.603857142857144,65.14625681705505,1.19080018587497,50.983
2014-06-30,50.47,50.983,50.119,50.983,8449,0,144.63,15844.0,50.01657142857143,49.702333333333335,66.20192307692308,1.2076510397152376,50.801
2014-07-01,50.821,51.01,50.394,50.801,12732,0,146.84,32676.0,50.14642857142858,49.78352380952381,66.17011052378672,1.1925723521004628,50.707
2014-07-02,50.868,50.868,50.585,50.707,9598,0,146.72,80200.0,50.28585714285714,49.86071428571429,63.64956437560507,1.1596694218940016,50.252
2014-07-03,50.811,50.811,50.204,50.252,16419,0,146.2,20501.0,50.405142857142856,49.896333333333324,57.15849387040286,1.0843788706280435,50.801
2014-07-07,50.555,50.897,50.555,50.801,3778,0,145.55,28738.0,50.543,49.95590476190476,59.7407940752932,1.0568278248142207,50.944
2014-07-08,50.821,50.944,50.585,50.944,27583,0,145.5,17794.0,50.74214285714286,50.01861904761904,66.57199038671625,1.0346060330818645,51.286
2014-07-09,50.878,51.352,50.594,51.286,19346,0,146.67,19197.0,50.82485714285714,50.10438095238095,66.29213483146071,1.032687466532792,51.019
2014-07-10,51.181,51.295,50.404,51.019,8640,0,147.09,55816.0,50.83,50.17028571428572,61.62716207559257,0.998116652666333,50.86
2014-07-11,50.905,51.201,50.641,50.86,20423,0,147.12,10680.0,50.83842857142857,50.23719047619048,60.074937552039934,0.9469729477548157,50.878
2014-07-14,50.821,51.201,50.727,50.878,11451,0,145.18,56032.0,50.862857142857145,50.29904761904762,62.30422656082386,0.8975472764109824,51.134
2014-07-15,50.801,51.332,50.745,51.134,32731,0,144.22,17385.0,50.98885714285715,50.372190476190475,68.65087986096026,0.8690166532622712,51.01
2014-07-16,51.418,51.418,50.934,51.01,14634,0,144.27,18353.0,51.01871428571429,50.427238095238096,63.62581244196843,0.8268685393621453,51.057
2014-07-17,51.152,51.456,50.878,51.057,23952,0,146.2,46277.0,51.03485714285714,50.50485714285715,68.51806340624236,0.7881727972539281,51.456
2014-07-18,51.352,51.675,50.868,51.456,14143,0,145.06,8877.0,51.05914285714285,50.58338095238095,61.310782241014834,0.7807026540380448,51.257
2014-07-21,51.436,51.617,51.125,51.257,20269,0,144.86,6340.0,51.09314285714286,50.64657142857143,54.23623995052567,0.7500784375123501,51.751
2014-07-22,51.39,51.818,51.371,51.751,13685,0,144.67,11168.0,51.22042857142857,50.73509523809524,63.39537507050186,0.7569446104621633,52.432
2014-07-23,51.721,52.432,51.019,52.432,36874,0,144.33,8903.0,51.44242857142857,50.863714285714295,70.86861843697065,0.8080227276113021,53.429
2014-07-24,52.092,54.471,51.892,53.429,53954,0,142.83,26708.0,51.77028571428571,51.05476190476191,83.97860962566831,0.918365722783868,52.262
2014-07-25,52.879,53.182,51.523,52.262,55536,0,143.62,20971.0,51.94914285714286,51.17028571428572,63.80124692990736,0.9012570640411823,51.41
